SUBE_KODU;SUBE_KODU_org;SUBE_ADI;BOLGE;IL_KODU;IL_ADI;SUBE_AKTIF_KOD;ILCE_KODU;ILCE_ISMI;SUBE_ADRES;KAPANIS_TARIHI;ACILIS_TAR
1195;7010;FEVZİPAŞA BULVARI;EGE                 ;35;İZMİR                                             ;A;3522;KONAK;Gazi Osman Paşa Cad. No:70 Çankaya Konak / İzmir;NULL;2011-09-28 00:00:00.000
1200;9540;İSKENDERUN;ÇUKUROVA            ;31;HATAY                                             ;A;3104;İSKENDERUN;Çay Mah. Tayfur Sökmen Bulvarı No:2/A İskenderun/Hatay;NULL;2001-12-21 00:00:00.000
1205;1205;ERZURUM İSTASYON CADDESİ;BAŞKENT-2           ;25;ERZURUM                                           ;P;2520;YAKUTİYE;Gez Mah. İstasyon Cad. No:22 Yakutiye/Erzurum;24.08.2015 00:00;2013-01-14 00:00:00.000
1210;1880;DEĞİRMENDERE;KARADENİZ           ;61;TRABZON                                           ;A;6100;TRABZON;Sanayi Mah. Devlet Karayolu Cad. No:57 Ortahisar/Trabzon;NULL;2009-12-17 00:00:00.000
1215;1215;ÇAPA;AVRUPA-2            ;34;İSTANBUL                                          ;P;3408;FATİH;Şehremini Mah. Başvekil Cad. No:22/A  Çapa  Fatih/İstanbul;26.08.2015 00:00;2012-11-26 00:00:00.000
1220;3135;ERZURUM YAKUTİYE;KARADENİZ           ;25;ERZURUM                                           ;A;2520;YAKUTİYE;Muratpaşa Mah.Saraybsna Cad. Çağrı Stsi D Blk Dnizbnk No:23K Yakutiye/Erzurum;NULL;2017-12-08 00:00:00.000
1225;1690;AVCILAR ÇARŞI;AVRUPA-2            ;34;İSTANBUL                                          ;A;3426;AVCILAR;Avcılar Merkez Mah. Reşitpaşa Cad. No:39/1B   Avcılar/İstanbul;NULL;2009-10-06 00:00:00.000
1230;2950;SARIGÖL;EGE                 ;45;MANİSA                                            ;A;4508;SARIGÖL;Ayan Mah. Alaşehir Cad. No:50 Sarıgöl Manisa;NULL;2004-03-29 00:00:00.000
1235;1235;ÜMRANİYE TİCARİ MERKEZ;İSTANBUL ANADOLU    ;34;İSTANBUL                                          ;P;3414;ÜSKÜDAR;Kısıklı Mah. Bosna Bulvarı No:25/A   Üsküdar / İstanbul;10.07.2017 00:00;2012-10-30 00:00:00.000
1240;5170;GÖLCÜK;MARMARA             ;41;KOCAELİ                                           ;A;4102;GÖLCÜK;MERKEZ MAH. AMİRAL SAĞLAM CAD. NO:11   GÖLCÜK / KOCAELİ;NULL;2010-09-28 00:00:00.000
1245;1245;AKYURT;BAŞKENT-2           ;6;ANKARA                                            ;P;626;AKYURT;Yıldırım Mahallesi Ankara Caddesi Hatipoğlu Apt. 2 Blok No:6B Akyurt/Ankara;13.05.2022 00:00;2012-11-25 00:00:00.000
1250;1250;ÇAL;BATI ANADOLU        ;20;DENİZLİ                                           ;P;2003;ÇAL;Hüseyinler Mah. Denizli Cad. No:1 Çal / Denizli;14.10.2020 00:00;2008-12-25 00:00:00.000
1255;5660;ETİMESGUT;BAŞKENT-2           ;6;ANKARA                                            ;A;627;ETİMESGUT;İstasyon Cad. No:3/A Etimesgut/Ankara;NULL;2011-03-04 00:00:00.000
1260;1260;GÖRÜKLE;MARMARA             ;16;BURSA                                             ;P;1613;NİLÜFER;Dumlupınar Mah. Atatürk Cad. No:68 Görükle Nilüfer/Bursa;17.12.2015 00:00;2008-11-18 00:00:00.000
1265;9710;FATİH;AVRUPA-1            ;34;İSTANBUL                                          ;A;3408;FATİH;Hocaüveys Mahallesi Akdeniz Cad. No : 26/A  Fatih / İstanbul;NULL;2002-01-03 00:00:00.000
1270;3795;KOCASİNAN;BAŞKENT-1           ;38;KAYSERİ                                           ;A;3814;KOCASİNAN;Şeker Mh. Osman Kavuncu Blv. No:360A Kocasinan / Kayseri;NULL;2022-07-01 00:00:00.000
1275;2450;ALTIYOL;İSTANBUL ANADOLU    ;34;İSTANBUL                                          ;A;3410;KADIKÖY;Söğütlüçeşme Cad.  Karadut Sok.  No.1  Kadıköy / İSTANBUL;NULL;2002-11-04 00:00:00.000
